Name,X,Y,S1,S2,S3,S4,Signal
15-12,327137.93,4.40603467e6,0.6742984439842138,2.449231485773289e-16,2.9862686589862193e-16,0.23653573111772705,A
17-31,328813.04,4.40882204e6,1.3737027670020395e-6,0.4017002676091321,0.6176546446229698,2.399146047624157e-16,D
18-1,327026.54,4.40703217e6,0.11375790746644963,8.3104166347973e-7,2.9862686589862193e-16,1.0,B
18-31,328801.97,4.40871725e6,1.0,0.0007701155320816957,0.3961994172268116,2.399146047624157e-16,A
18A-1,327056.33,4.40703775e6,2.1679687287872097e-16,0.22225135180226394,2.9862686589862193e-16,0.8363757251641106,B
18B-31,328791.32,4.40871144e6,0.8949606053551874,1.428004362474696e-12,0.479712970079658,2.399146047624157e-16,A
18D-31,328751.91,4.40862911e6,0.6128434891502489,0.013711451163586796,0.3631816413779793,0.33767777094851864,A
22-13,327161.72,4.4051245e6,0.1026739257875542,0.1810516087656572,0.18155202508060447,0.36094820528811616,B
26-12,327300.66,4.40579963e6,0.4516317052216647,0.03659331312242614,0.525593948060603,2.399146047624157e-16,A
27-1,327256.49,4.40720478e6,0.2829101620085958,0.2658543455563424,2.9862686589862193e-16,0.3545007135975871,B
46-1,327805.01,4.40748476e6,0.36942083960347893,0.3383674127725359,0.4188511929310762,2.399146047624157e-16,A
46A-1,327774.78,4.40740108e6,0.3551097471920831,0.3598962006606966,0.41562728654625675,2.399146047624157e-16,A
47A-1,327661.35,4.40729129e6,0.17726926877801802,0.6241531823694194,0.23736233736579768,2.399146047624157e-16,C
47C-1,327746.25,4.4073085e6,0.4057336111846549,0.6123727565543321,2.9862686589862193e-16,2.399146047624157e-16,C
48A-1,327704.9,4.40718065e6,2.1679687287872097e-16,1.0,2.9862686589862193e-16,2.399146047624157e-16,C
55-1,328014.47,4.40772054e6,0.0939917690849858,0.4331743211859707,0.4803847146044603,0.31602171130202344,D
56-1,327963.43,4.40755491e6,0.17648573620667524,0.5026679996315612,0.6038975737260842,2.399146047624157e-16,C
56A-1,327859.51,4.40755578e6,0.5069984297089738,0.5283275859589395,2.9862686589862193e-16,0.060876693174996305,C
56B-1,327891.35,4.40745289e6,2.1679687287872097e-16,0.9866295275353739,0.161515835503505,2.399146047624157e-16,C
57-1,327931.46,4.40741438e6,0.20229816813078014,0.5430686012431971,0.581452206209361,2.399146047624157e-16,C
64-1,328156.6,4.40795433e6,2.1679687287872097e-16,2.449231485773289e-16,0.9376098325974349,0.33354750690882173,D
68A-1,328229.72,4.40707921e6,0.13275862693274004,2.449231485773289e-16,0.7076840565062139,0.5253748907891231,D
68B-1,328065.7,4.40706164e6,0.33206876269835567,2.449231485773289e-16,0.6582242335180407,0.45741816810044034,D
77-1,328214.13,4.40718169e6,2.1679687287872097e-16,0.3191845935653698,0.3160180845380113,0.7288501297875621,B
81-1,328567.28,4.40851194e6,0.6521291469551787,1.3021757090640457e-7,0.5191881779514055,2.399146047624157e-16,A
81-11,326859.34,4.4069495e6,0.2837649653122467,0.5538870650631944,2.9862686589862193e-16,2.399146047624157e-16,C
81A-1,328598.76,4.40855648e6,0.6381744086468684,1.9800091241547087e-5,0.514910858685934,2.399146047624157e-16,A
81B-1,328528.63,4.40843124e6,0.7814276189006647,4.398687502625493e-11,0.27884547092574746,0.24569055864403658,A
82A-11,326907.12,4.40670723e6,2.1679687287872097e-16,2.449231485773289e-16,2.9862686589862193e-16,0.8935906545781162,B
88-11,326889.0,4.40544507e6,0.24665060940611144,0.2257730562657413,2.9862686589862193e-16,0.40580992154079765,B
B1,327745.53,4.40596877e6,0.2106123459187825,0.7140290126991256,2.9862686589862193e-16,2.399146047624157e-16,C
B2,327721.65,4.40609786e6,0.0015042976880628798,0.3296614463355958,0.8983456863048224,2.399146047624157e-16,D
B3,327738.97,4.40619405e6,2.1679687287872097e-16,0.6399156586655396,3.1012033330557455e-13,0.41091173983203133,C
B4,327778.14,4.40639034e6,4.416227847494085e-13,0.13858717160810988,0.5732138875999951,0.5292344986242592,D
B5,327713.81,4.40629808e6,2.1679687287872097e-16,2.449231485773289e-16,0.38910618752261256,0.8139104410482957,B
B5A,327754.04,4.40637455e6,3.4484271888320345e-7,0.015041433694743556,0.5649895433396303,0.6573877293010266,B
B6,327848.36,4.40636567e6,2.1679687287872097e-16,0.4103453031789487,2.9862686589862193e-16,0.7234733985446484,B
B7,327784.51,4.40629935e6,0.0024005746536722183,0.0015063211919880265,0.5007492025890623,0.8141723367519842,B
B8,327603.56,4.40643766e6,2.1679687287872097e-16,0.925826710070809,0.0456836938481557,2.399146047624157e-16,C
BCH-1,328398.2,4.40887416e6,0.5883699422731956,2.449231485773289e-16,0.3560520313423478,7.19185201270397e-16,A
BCH-2,327732.14,4.40800628e6,0.41392667920111315,0.21887687817232754,0.37346951740988676,2.399146047624157e-16,A
BCH-3,327126.74,4.40600409e6,0.6977688448684479,2.449231485773289e-16,2.9862686589862193e-16,0.2305710468989534,A
EE-1,327575.0,4.40640489e6,2.1679687287872097e-16,0.9480422831754436,1.283638646985138e-11,2.399146047624157e-16,C
MG-1(SP-1),328194.09,4.4071925e6,0.1513339899652939,2.449231485773289e-16,0.5044963634823989,0.7046390036407517,B
MG-2(SP-2),328128.08,4.4076273e6,2.1679687287872097e-16,2.449231485773289e-16,1.0,0.3431621468051424,D
MGI-1,327853.91,4.40678619e6,0.00017395064074347114,0.15161560156376602,0.7974319252856383,0.355528127551215,D
MGI-2,327994.35,4.40709171e6,0.0010636195160754179,1.7679827917652385e-5,0.5718386710224013,0.8454515721190168,B
